#{"t_start": 1742342827.800654, "env_id": "None"}
r,l,t
0.533715,17,206.990346
0.609934,17,243.264389
00.595304,17,249.714919
00.290354,17,374.9574290.0.73247,17,834.764859
00.41352,17,870.897073
0.548934,17,877.888641
0.520453,17,912.810272
0.402405,17,918.701668
00.557121,17,953.037907
00.76514,17,958.974814
0.809928,17,993.810553
0.610876,17,1000.1650880.0.494977,17,1033.52030.530.632763,17,1040.20130.570.787641,17,1074.34480.580.72798,17,1080.641210.50.425996,17,1116.991400.60.79999,17,1123.4011840.0.6036,17,2045.618874
0.578196,17,2082.661491
0.500756,17,2089.366446
155
